rank,registration number,title,study type,study phase,source of funding,funded (original),technology approach,application setting,application of a digital placebo,purpose of intervention,medical specialty (ICD-11),target Disease / conditions,study design,study purpose,registered,duration_month,arm,sample size,implementation site_1,implementation site_1_location,implementation site_2,implementation site_2_location,implementation site_3,implementation site_3_location,implementation site_4,implementation site_4_location,implementation site_5,implementation site_5_location,implementation site_6,implementation site_6_location,implementation site_7,implementation site_7_location,implementation site_8,implementation site_8_location,implementation site_9,implementation site_9_location,implementation site_10,implementation site_10_location,recruitment status,age_min,age_max,sex,randomization,randomization_method,masking,masking (original)
30,ChiCTR2300073900,Combined exercise and cognitive intervention in Chinese older adults with mild cognitive impairment (COGITO): a home-based and remotely supervised intervention,Interventional,Early Phase 1,international fund,美国中华医学基金会，项目编号22-477,Guided,Non-hospital,No,Treatment,"Mental, behavioural or neurodevelopmental disorders",mild cognitive impairment,Parallel Assignment,设计一项满足中国MCI老年患者需求的远程监督居家运动-认知综合干预项目，通过开展随机对照试验以评价干预方案效果并量化其成本效益，分析该干预方案在中国推广的可行性。  ,2023,29.43333333,4,160,云南省精神病医院 ,云南省,宁夏回族自治区宁安医院 ,宁夏 ,大连市第七人民医院 ,辽宁 ,杭州市第七人民医院 ,浙江 ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,60,75,All,block randomization,Researchers in different centers randomly divided 40 subjects into four intervention groups in a ratio of 1:1:1:1 using block randomization.,single(outcomes assessor),对评估人员施盲，确保评估人员不知晓患者的分组情况，并嘱咐患者不能告知评估人员自己的分组情况。
31,ChiCTR2300073786,A study of the efficacy of tele-tai chi versus physical therapy interventions in patients with chronic low back pain: a randomized controlled trial,Interventional,NP,self-fund,自筹,Fully-automated,Non-hospital,No,Management,"Symptoms, signs or clinical findings, not elsewhere classified",Chronic low back pain,Parallel Assignment,（1）探究远程康复形式治疗慢性腰痛患者的可行性与有效性。 （2）探究远程太极拳与物理治疗对慢性腰痛患者的疼痛程度及功能障碍的改善效果，并明确改善程度是否具有临床意义（最小临床重要差异）。 （3）探究远程太极拳与远程物理治疗对慢性腰痛患者的生活质量、睡眠质量，以及疼痛心理状况的影响，明确心理、社会维度的改善情况。 （4）探究远程太极拳与远程健康宣教对慢性腰痛患者的坐站、平衡能力的影响，明确生理维度的改善情况。,2023,17.66666667,3,105,上海体育大学 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,70,All,simple randomization,Assignments were made by a researcher who was unaware of the trial using the random number table method to select random numbers as required.,single(outcomes assessor),单盲，即结局指标评估者设盲。
32,ChiCTR2300073688,Effect of the telemedicine-supported multicomponent exercise therapy in patients with knee osteoarthritis: a randomized controlled trial,Interventional,Early Phase 1,hospital/university,四川大学华西医院,Fully-automated,Non-hospital,yes,Treatment,Diseases of the musculoskeletal system or connective tissue,knee osteoarthritis,Parallel Assignment,主要目的 本研究的主要目的是评估远程医疗支持的多成分运动疗法对KOA患者疼痛的影响，并与常规护理治疗进行比较。 次要目的 1.评估远程医疗支持的多成分运动疗法与常规护理治疗相比对KOA患者身体功能和生活质量的影响； 2.评估多成分运动疗法是否改变KOA患者的自我认知，改善心理健康状况，减少疼痛恐惧和疼痛灾难性想象； 3.评估家庭自我管理的KOA患者对多成分运动疗法的依从性是否良好。,2022,24.36666667,2,86,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,65,All,block randomization,"A statistician who was blinded to the study's subject matter used a computer program to randomly assign subjects in a 1:1 ratio to the trial group and the control group. Block randomization with a computer-generated random sequence will be used to perform randomization when participants are recruited. A senior statistician from the West China Hospital, Sichuan University's Centre for Biostatistics, Design, Measurement, and Evaluation will create the randomization sequence. To guarantee equitable distribution to each group, permuted blocks of sizes 4 or 6 will be utilized at random.",single(outcomes assessor),受试者和医生无法施盲。评估者也无法实施盲法，因为受试者不是盲法，结果是自我报告的。虽然参与者、医生和评估人员没有采用盲法，但该研究使用了其他方法来减少偏倚。为了避免影响治疗预期或结局指标的测量，参与者和评估者都没有被告知研究假设。分析数据的统计学家也将不知道分组分配。
33,ChiCTR2300072964,Effectiveness of telerehabilitation-based unsupervised structured exercise therapy and education for patients with chronic non-specific neck pain: a randomized controlled trial,Interventional,NP,self-fund,申办方,Fully-automated,Non-hospital,No,Treatment,"Symptoms, signs or clinical findings, not elsewhere classified",chronic non-specific neck pain,Parallel Assignment,探讨基于远程康复的无监督结构化运动疗法和教育对慢性非特异性颈痛患者的疗效，并将其与传统治疗作疗效对比。  ,2023,12.26666667,2,78,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,100,All,simple randomization,Tables of random numbers are generated by statisticians using Excel.,single(outcomes assessor),本研究仅可对结局指标评估员及统计分析者实施盲法结局评估员将接受数据收集程序方面的标准化培训。将邀请不参加本研究的数据录入人员进行数据录入，这样就保证了统计学家在实施数据分析时不知道参与者的分组。由于干预的性质，无法对物理治疗师和参与者实施盲法。
34,ChiCTR2300072356,Telemedicine-Assisted Structured Self-Monitoring of Blood Glucose in Management of T2DM Results of a randomized clinical trial,Interventional,NP,municipal government/fund,上海市卫生和计划生育委员会（201540140）,Fully-automated,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",Diabetes,Parallel Assignment,评估远程医疗系统支持下的自我血糖监测与单纯的自我血糖监测对2型糖尿病患者院外血糖的影响,2016,36.5,2,418,复旦大学附属中山医院青浦分院 ,上海市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Completed,18,75,All,simple randomization,Zhang Min used the random number table method for randomization.,Open label,无
35,ChiCTR2300071638,The effectiveness of application-based acceptance and commitment therapy on patients with lung cancer and their family caregivers: a randomized controlled trial,Interventional,NP,self-fund,研究生经费,Guided,Non-hospital,No,Management,Neoplasms,Lung cancer,Parallel Assignment,1. 主要目的：探讨基于微信小程序的接纳承诺疗法对肺癌患者及肺癌照顾者心理灵活性、焦虑、抑郁、生活质量和照顾者负担的有效性； 2. 次要目的：为临床护理人员改善肺癌患者及其家庭照顾者心理健康提供证据和方案。,2023,10.4,2,92,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,65,All,simple randomization,An independent researcher uses the IBM SPSS26.0 software random number generation module to generate random number sequences.,single(outcomes assessor),结果统计人员对患者分配结果及患者接受干预的类型不知情
36,ChiCTR2300071560,Effect of telemedicine-supported structured exercise program in patients with chronic low back pain: a randomized controlled trial,Interventional,Early Phase 1,hospital/university,四川大学华西医院,Guided,Non-hospital,No,Treatment,"Symptoms, signs or clinical findings, not elsewhere classified",chronic low back pain（CLBP）,Parallel Assignment,主要目标 本研究的主要目的是评估远程医疗支持的结构化运动项目对CLBP患者疼痛的影响，并与传统模式(纸质版运动疗法)进行比较。 次要目标 i)评估远程医疗支持的结构化运动项目与传统模式(纸质版运动疗法)相比对CLBP患者的身体功能、生活质量和精神病理症状的影响。 ii)评估有监督的运动疗法与健康指导相结合是否比传统模式(纸质版运动疗法)具有更好的运动依从性和更少的疼痛恐惧或疼痛灾难性想象。  ,2022,19.23333333,2,78,四川大学华西医院 ,四川省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,65,All,block randomization,"Subjects were randomly assigned to the trial group and the control group at a 1:1 ratio according to a computer software-generated random sequence by a statistician who is blinded to the study content. Randomization will be performed as participants are recruited using block randomization with a computer-generated random sequence. The randomization sequence will be prepared by a senior statistician at the Centre for Biostatistics, Design, Measurement, and Evaluation of West China Hospital, Sichuan University. Random permuted blocks of sizes 4 or 6 will be used to ensure equal allocation to each group.",single(outcomes assessor),本研究仅可对结局指标评估者及统计分析者实施盲法。
37,ChiCTR2300071461,Application of telemedicine technology in home cardiac rehabilitation of patients after heart valve surgery in county medical institutions,Interventional,Early Phase 1,self-fund,自筹,Fully-automated,Non-hospital,No,Management,Diseases of the circulatory system,Valvular heart disease,Parallel Assignment,拟通过对远程医疗技术在粤西县域医疗机构心脏瓣膜术后患者居家心脏康复中的应用进行研究，探索适合远程医疗技术在粤西县域地区心脏瓣膜术后患者居家心脏康复的实施模式。  ,2022,24.36666667,2,86,高州市人民医院 ,广东省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,18,60,All,randomized-NP,"This study was double-blind, and the personnel responsible for randomization and the statisticians were blinded. Write the serial number of the random control in advance and put it in the envelope box, the singular number is the observation group, and the even number is the experimental group. Envelope samp","double(investigator, outcomes assessor)",双盲，负责分配入组的人员，不知晓具体工作内容；收集整理、统计数据的人员不知晓该统计的项目内容。
38,ChiCTR2300071250,the effect of remote and traditional balance training in people with chronic ankle instability: a randomized controlled trial,Interventional,Phase 1,self-fund,自筹,Guided,Non-hospital,No,Management,Diseases of the musculoskeletal system or connective tissue,chronic ankle instability,Parallel Assignment,比较慢性踝关节不稳患者进行远程形式和传统形式的康复的效果。  ,2023,1.633333333,3,66,北京体育大学 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Recruiting,16,45,All,simple randomization,Participants were numbered and randomly assigned using a computer-generated random number table,single(participant),参加实验的受试者不知道自己分配到哪个组
39,ChiCTR2300071181,Research on remote rehabilitation treatment model of knee osteoarthritis,Interventional,Phase 1,self-fund,自筹,Fully-automated,Non-hospital,No,Management,Diseases of the musculoskeletal system or connective tissue,Osteoarthritis of the knee,Parallel Assignment,探究基于互联网的远程居家康复治疗模式，并初步验证其治疗效果。  ,2023,12.16666667,2,112,中国人民解放军总医院第四医学中心 ,北京市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,20,75,All,block randomization,"Using SAS9.4 software, the subjects were randomly divided into the experimental group (Internet-based rehabilitation model treatment) and the control group (outpatient treatment group).",Open label,无
40,ChiCTR2300070753,Effects of remote management based on behavioral economics theory on patients with type 2 diabetes mellitus,Interventional,Early Phase 1,self-fund,自筹,Guided,Non-hospital,No,Management,"Endocrine, nutritional or metabolic diseases",type 2 diabetes,Parallel Assignment,评价基于行为经济学理论的远程管理对2型糖尿病患者糖化血糖、血糖自我检测SMBG、糖尿病管理自我效能等的影响,2023,21.33333333,3,300,昆山市第一人民医院 ,江苏省,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Not yet recruiting,18,65,All,simple randomization,randomization,Open label,无
